name,description,var_type,unit,count,count_as_time,offset
SessionTime,Seconds since session start,Double,s,1,0,0
SessionTick,Current update number,Int,,1,0,8
SessionNum,Session number,Int,,1,0,12
SessionState,Session state,Int,irsdk_SessionState,1,0,16
SessionUniqueID,Session ID,Int,,1,0,20
SessionFlags,Session flags,BitField,irsdk_Flags,1,0,24
SessionTimeRemain,Seconds left till session ends,Double,s,1,0,28
SessionLapsRemain,Old laps left till session ends use SessionLapsRemainEx,Int,,1,0,36
SessionLapsRemainEx,New improved laps left till session ends,Int,,1,0,40
SessionTimeTotal,Total number of seconds in session,Double,s,1,0,44
SessionLapsTotal,Total number of laps in session,Int,,1,0,52
SessionJokerLapsRemain,Joker laps remaining to be taken,Int,,1,0,56
SessionOnJokerLap,Player is currently completing a joker lap,Bool,,1,0,60
SessionTimeOfDay,Time of day in seconds,Float,s,1,0,61
DriverMarker,Driver activated flag,Bool,,1,0,65
PushToTalk,Push to talk button state,Bool,,1,0,66
PushToPass,Push to pass button state,Bool,,1,0,67
ManualBoost,Hybrid manual boost state,Bool,,1,0,68
ManualNoBoost,Hybrid manual no boost state,Bool,,1,0,69
IsOnTrack,1=Car on track physics running with player in car,Bool,,1,0,70
FrameRate,Average frames per second,Float,fps,1,0,71
CpuUsageFG,Percent of available tim fg thread took with a 1 sec avg,Float,%,1,0,75
GpuUsage,Percent of available tim gpu took with a 1 sec avg,Float,%,1,0,79
ChanAvgLatency,Communications average latency,Float,s,1,0,83
ChanLatency,Communications latency,Float,s,1,0,87
ChanQuality,Communications quality,Float,%,1,0,91
ChanPartnerQuality,Partner communications quality,Float,%,1,0,95
CpuUsageBG,Percent of available tim bg thread took with a 1 sec avg,Float,%,1,0,99
ChanClockSkew,Communications server clock skew,Float,s,1,0,103
MemPageFaultSec,Memory page faults per second,Float,,1,0,107
MemSoftPageFaultSec,Memory soft page faults per second,Float,,1,0,111
PlayerCarPosition,Players position in race,Int,,1,0,115
PlayerCarClassPosition,Players class position in race,Int,,1,0,119
PlayerCarClass,Player car class id,Int,,1,0,123
PlayerTrackSurface,Players car track surface type,Int,irsdk_TrkLoc,1,0,127
PlayerTrackSurfaceMaterial,Players car track surface material type,Int,irsdk_TrkSurf,1,0,131
PlayerCarIdx,Players carIdx,Int,,1,0,135
PlayerCarTeamIncidentCount,Players team incident count for this session,Int,,1,0,139
PlayerCarMyIncidentCount,Players own incident count for this session,Int,,1,0,143
PlayerCarDriverIncidentCount,Teams current drivers incident count for this session,Int,,1,0,147
PlayerCarWeightPenalty,Players weight penalty,Float,kg,1,0,151
PlayerCarPowerAdjust,Players power adjust,Float,%,1,0,155
PlayerCarDryTireSetLimit,Players dry tire set limit,Int,,1,0,159
PlayerCarTowTime,Players car is being towed if time is greater than zero,Float,s,1,0,163
PlayerCarInPitStall,Players car is properly in their pitstall,Bool,,1,0,167
PlayerCarPitSvStatus,Players car pit service status bits,Int,irsdk_PitSvStatus,1,0,168
PlayerTireCompound,Players car current tire compound,Int,,1,0,172
PlayerFastRepairsUsed,Players car number of fast repairs used,Int,,1,0,176
PaceMode,Are we pacing or not,Int,irsdk_PaceMode,1,0,180
OnPitRoad,Is the player car on pit road between the cones,Bool,,1,0,184
SteeringWheelAngle,Steering wheel angle,Float,rad,1,0,185
Throttle,0=off throttle to 1=full throttle,Float,%,1,0,189
Brake,0=brake released to 1=max pedal force,Float,%,1,0,193
Clutch,0=disengaged to 1=fully engaged,Float,%,1,0,197
Gear,-1=reverse  0=neutral  1..n=current gear,Int,,1,0,201
RPM,Engine rpm,Float,revs/min,1,0,205
Lap,Laps started count,Int,,1,0,209
LapCompleted,Laps completed count,Int,,1,0,213
LapDist,Meters traveled from S/F this lap,Float,m,1,0,217
LapDistPct,Percentage distance around lap,Float,%,1,0,221
LapBestLap,Players best lap number,Int,,1,0,225
LapBestLapTime,Players best lap time,Float,s,1,0,229
LapLastLapTime,Players last lap time,Float,s,1,0,233
LapCurrentLapTime,Estimate of players current lap time as shown in F3 box,Float,s,1,0,237
LapLasNLapSeq,Player num consecutive clean laps completed for N average,Int,,1,0,241
LapLastNLapTime,Player last N average lap time,Float,s,1,0,245
LapBestNLapLap,Player last lap in best N average lap time,Int,,1,0,249
LapBestNLapTime,Player best N average lap time,Float,s,1,0,253
LapDeltaToBestLap,Delta time for best lap,Float,s,1,0,257
LapDeltaToBestLap_DD,Rate of change of delta time for best lap,Float,s/s,1,0,261
LapDeltaToBestLap_OK,Delta time for best lap is valid,Bool,,1,0,265
LapDeltaToOptimalLap,Delta time for optimal lap,Float,s,1,0,266
LapDeltaToOptimalLap_DD,Rate of change of delta time for optimal lap,Float,s/s,1,0,270
LapDeltaToOptimalLap_OK,Delta time for optimal lap is valid,Bool,,1,0,274
LapDeltaToSessionBestLap,Delta time for session best lap,Float,s,1,0,275
LapDeltaToSessionBestLap_DD,Rate of change of delta time for session best lap,Float,s/s,1,0,279
LapDeltaToSessionBestLap_OK,Delta time for session best lap is valid,Bool,,1,0,283
LapDeltaToSessionOptimalLap,Delta time for session optimal lap,Float,s,1,0,284
LapDeltaToSessionOptimalLap_DD,Rate of change of delta time for session optimal lap,Float,s/s,1,0,288
LapDeltaToSessionOptimalLap_OK,Delta time for session optimal lap is valid,Bool,,1,0,292
LapDeltaToSessionLastlLap,Delta time for session last lap,Float,s,1,0,293
LapDeltaToSessionLastlLap_DD,Rate of change of delta time for session last lap,Float,s/s,1,0,297
LapDeltaToSessionLastlLap_OK,Delta time for session last lap is valid,Bool,,1,0,301
Speed,GPS vehicle speed,Float,m/s,1,0,302
Yaw,Yaw orientation,Float,rad,1,0,306
